Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
58	190	95.9676129	0.304743846	101330.097	101327.295	101324.674	101330.097	2.62083197	0	0	0	0	0	3
59	193	97.0527481	0.30999805	101330.164	101327.327	101324.674	101330.164	2.6529158	0	0	0	0	0	3
60	196	98.1287847	0.315252254	101330.23	101327.359	101324.674	101330.23	2.68475437	0	0	0	0	0	3
61	199	99.1976554	0.320506459	101330.294	101327.39	101324.674	101330.294	2.71638671	0	0	0	0	0	3
62	202	100.258183	0.325760663	101330.357	101327.422	101324.674	101330.357	2.74777048	0	0	0	0	0	3
63	204	101.311257	0.331014867	101330.418	101327.453	101324.674	101330.418	2.77891846	0	0	0	0	0	3
64	207	102.357164	0.336269071	101330.478	101327.484	101324.674	101330.478	2.80983231	0	0	0	0	0	3
65	210	103.395719	0.341523275	101330.537	101327.514	101324.674	101330.537	2.84049681	0	0	0	0	0	3
66	212	104.427781	0.34677748	101330.594	101327.545	101324.674	101330.594	2.87093317	0	0	0	0	0	3
67	215	105.453104	0.352031684	101330.651	101327.575	101324.674	101330.651	2.90112941	0	0	0	0	0	3
68	218	106.47211	0.357285888	101330.706	101327.605	101324.674	101330.706	2.93109109	0	0	0	0	0	3
69	221	107.484994	0.362540092	101330.76	101327.635	101324.674	101330.76	2.96082198	0	0	0	0	0	3
70	223	108.491859	0.367794297	101330.814	101327.664	101324.674	101330.814	2.99032236	0	0	0	0	0	3
71	226	109.493136	0.373048501	101330.866	101327.694	101324.674	101330.866	3.01959952	0	0	0	0	0	3
72	229	110.48873	0.378302705	101330.918	101327.723	101324.674	101330.918	3.04865233	0	0	0	0	0	3
73	231	111.478853	0.383556909	101330.969	101327.751	101324.674	101330.969	3.07748372	0	0	0	0	0	3
74	234	112.464077	0.388811114	101331.019	101327.78	101324.674	101331.019	3.10610593	0	0	0	0	0	3
75	237	113.443263	0.394065318	101331.068	101327.808	101324.674	101331.068	3.13448861	0	0	0	0	0	3
76	240	114.417958	0.399319522	101331.117	101327.837	101324.674	101331.117	3.162674	0	0	0	0	0	3
77	242	115.386896	0.404573726	101331.165	101327.865	101324.674	101331.165	3.19062384	0	0	0	0	0	3
78	245	116.351776	0.409827931	101331.212	101327.892	101324.674	101331.212	3.21838324	0	0	0	0	0	3
79	248	117.311409	0.415082135	101331.258	101327.92	101324.674	101331.258	3.24591789	0	0	0	0	0	3
80	251	118.267444	0.420336339	101331.304	101327.947	101324.674	101331.304	3.27327553	0	0	0	0	0	3
81	253	119.218561	0.425590543	101331.35	101327.974	101324.674	101331.35	3.3004196	0	0	0	0	0	3
82	256	120.16619	0.430844748	101331.397	101328.001	101324.674	101331.397	3.32740786	0	0	0	0	0	3
83	258	121.109036	0.436098952	101331.457	101328.028	101324.674	101331.457	3.35431342	0	0	0	0	0	3
84	261	122.048265	0.441353156	101331.526	101328.055	101324.674	101331.526	3.38122699	0	0	0	0	0	3
85	264	122.983322	0.44660736	101331.603	101328.082	101324.674	101331.603	3.4082027	0	0	0	0	0	3
86	267	123.91461	0.451861564	101331.689	101328.109	101324.674	101331.689	3.43531152	0	0	0	0	0	3
87	270	124.842341	0.457115769	101331.782	101328.137	101324.674	101331.782	3.46260799	0	0	0	0	0	3
88	273	125.765674	0.462369973	101331.882	101328.164	101324.674	101331.882	3.49010769	0	0	0	0	0	3
89	276	126.685654	0.467624177	101331.987	101328.192	101324.674	101331.987	3.51787045	0	0	0	0	0	3
90	278	127.600797	0.472878381	101332.095	101328.22	101324.674	101332.095	3.54586056	0	0	0	0	0	3
91	281	128.512689	0.478132586	101332.204	101328.248	101324.674	101332.204	3.57413032	0	0	0	0	0	3
92	284	129.420043	0.48338679	101332.314	101328.277	101324.674	101332.314	3.60263656	0	0	0	0	0	3
93	286	130.32358	0.488640994	101332.424	101328.305	101324.674	101332.424	3.63139203	0	0	0	0	0	3
94	289	131.223462	0.493895198	101332.532	101328.334	101324.674	101332.532	3.66038024	0	0	0	0	0	3
95	292	132.118622	0.499149403	101332.639	101328.364	101324.674	101332.639	3.68954665	0	0	0	0	0	3
96	295	133.010281	0.504403607	101332.743	101328.393	101324.674	101332.743	3.71890714	0	0	0	0	0	3
97	298	133.897049	0.509657811	101332.845	101328.423	101324.674	101332.845	3.74875633	0	0	0	0	0	3
98	300	134.779986	0.514912015	101332.944	101328.453	101324.674	101332.944	3.77872475	0	0	0	0	0	3
99	303	135.658406	0.52016622	101333.04	101328.483	101324.675	101333.04	3.80876654	0	0	0	0	0	3
100	306	136.532588	0.525420424	101333.134	101328.513	101324.675	101333.134	3.83885935	0	0	0	0	0	3
101	309	137.403119	0.530674628	101333.225	101328.544	101324.676	101333.225	3.86861469	0	0	0	0	0	3
102	312	138.268708	0.535928832	101333.313	101328.575	101324.683	101333.313	3.89518094	0	0	0	0	0	3
103	314	139.130761	0.541183037	101333.399	101328.611	101324.751	101333.399	3.87419059	0	0	0	0	0	3
104	317	139.988093	0.546437241	101333.483	101328.678	101325.241	101333.483	3.51571529	0	0	0	0	0	3
105	320	140.842276	0.551691445	101333.564	101328.95	101326.565	101333.564	2.7216261	0	0	0	0	0	3
106	322	141.692186	0.556945649	101333.643	101329.83	101326.612	101333.643	3.59380851	0	0	0	0	0	3
107	325	142.53944	0.562199853	101333.72	101329.893	101326.65	101333.72	3.65096794	0	0	0	0	0	3
108	328	143.382779	0.567454058	101333.794	101329.95	101326.676	101333.794	3.70360679	0	0	0	0	0	3
109	330	144.223358	0.572708262	101333.867	101330	101326.698	101333.867	3.74965478	0	0	0	0	0	3
110	333	145.060041	0.577962466	101333.938	101330.047	101326.717	101333.938	3.79353775	0	0	0	0	0	3
111	335	145.892958	0.58321667	101334.008	101330.093	101326.743	101334.008	3.83409297	0	0	0	0	0	3
