Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.153254	298.153254	298.153254	298.153254	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.156556	298.154905	298.153254	298.156556	0.0016511444	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.159899	298.156572	298.153254	298.159899	0.00331845183	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.163316	298.15828	298.153254	298.163316	0.00502615749	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.167139	298.16023	298.153254	298.167139	0.00697661319	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.17717	298.16646	298.153254	298.17717	0.0132065066	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.217171	298.197211	298.153254	298.217171	0.0439573573	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.421118	298.37616	298.153254	298.421118	0.222906562	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.961735	298.870442	298.153254	298.961735	0.717188332	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	299.45342	299.313578	298.153254	299.45342	1.16032463	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	299.487335	299.316936	298.153254	299.487335	1.16368187	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	299.512966	299.319864	298.153254	299.512966	1.16661027	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	299.530013	299.322013	298.153254	299.530013	1.16875873	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	299.543966	299.32392	298.153254	299.543966	1.17066575	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	299.555967	299.325672	298.153254	299.555967	1.17241816	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	299.57208	299.328293	298.153254	299.57208	1.1750388	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	299.586573	299.330845	298.153254	299.586573	1.17759159	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	299.60007	299.333401	298.153254	299.60007	1.18014692	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	299.613164	299.336062	298.153254	299.613164	1.18280784	0	0	0	0	0	3
20	82	50.047109	0.105084085	299.626253	299.338921	298.153254	299.626253	1.18566692	0	0	0	0	0	3
21	85	50.8057684	0.110338289	299.644719	299.343487	298.153254	299.644719	1.19023327	0	0	0	0	0	3
22	87	51.5990821	0.115592493	299.662632	299.348394	298.153254	299.662632	1.19513999	0	0	0	0	0	3
23	90	52.4251184	0.120846697	299.679939	299.353618	298.153254	299.679939	1.20036398	0	0	0	0	0	3
24	93	53.2727271	0.126100902	299.696427	299.359072	298.153254	299.696427	1.20581834	0	0	0	0	0	3
25	95	54.130989	0.131355106	299.711954	299.364667	298.153254	299.711954	1.21141338	0	0	0	0	0	3
26	98	55.4182895	0.13660931	299.732446	299.37321	298.153254	299.732446	1.21995643	0	0	0	0	0	3
27	101	56.6950026	0.141863514	299.750879	299.381715	298.153254	299.750879	1.22846114	0	0	0	0	0	3
28	104	57.9460995	0.147117719	299.767424	299.390043	298.153254	299.767424	1.23678887	0	0	0	0	0	3
29	107	59.1662014	0.152371923	299.782361	299.398133	298.153254	299.782361	1.2448791	0	0	0	0	0	3
30	110	60.355004	0.157626127	299.813983	299.406324	298.153254	299.813983	1.25307004	0	0	0	0	0	3
31	113	61.8847727	0.162880331	299.904457	299.418638	298.153254	299.904457	1.26538371	0	0	0	0	0	3
32	116	63.379911	0.168134536	299.996032	299.432258	298.153254	299.996032	1.27900451	0	0	0	0	0	3
33	119	64.8470579	0.17338874	300.098789	299.447338	298.153254	300.098789	1.29408458	0	0	0	0	0	3
34	122	66.2896594	0.178642944	300.212101	299.463981	298.153254	300.212101	1.31072741	0	0	0	0	0	3
35	124	67.7108526	0.183897148	300.327997	299.482116	298.153254	300.327997	1.32886237	0	0	0	0	0	3
36	128	69.1116691	0.189151353	300.442018	299.501572	298.153254	300.442018	1.3483185	0	0	0	0	0	3
37	131	70.4936093	0.194405557	300.550057	299.522127	298.153254	300.550057	1.36887276	0	0	0	0	0	3
38	133	71.8566672	0.199659761	300.650733	299.543535	298.153254	300.650733	1.39028143	0	0	0	0	0	3
39	136	73.2023027	0.204913965	300.742845	299.565581	298.153254	300.742845	1.41232765	0	0	0	0	0	3
