Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
50	168	86.9434252	0.262710212	-4.21054904	-2.60846838	-4.21054904	-1.93220555	0.676262833	0	0	0	0	0	3
51	171	88.1093756	0.267964416	-4.21780446	-2.62976471	-4.21780446	-1.93220555	0.697559159	0	0	0	0	0	3
52	174	89.2629975	0.27321862	-4.22422146	-2.65037123	-4.22422146	-1.93220555	0.718165686	0	0	0	0	0	3
53	176	90.4060462	0.278472825	-4.23001638	-2.67034347	-4.23001638	-1.93220555	0.738137926	0	0	0	0	0	3
54	179	91.5377194	0.283727029	-4.23522632	-2.68968999	-4.23522632	-1.93220555	0.757484442	0	0	0	0	0	3
55	182	92.6598196	0.288981233	-4.23997881	-2.70846382	-4.23997881	-1.93220555	0.776258269	0	0	0	0	0	3
56	185	93.7715015	0.294235437	-4.24429016	-2.72667138	-4.24429016	-1.93220555	0.79446583	0	0	0	0	0	3
57	188	94.8744384	0.299489642	-4.24818599	-2.74435933	-4.24818599	-1.93220555	0.812153783	0	0	0	0	0	3
58	190	95.9676129	0.304743846	-4.25170566	-2.76152963	-4.25170566	-1.93220555	0.829324082	0	0	0	0	0	3
59	193	97.0527481	0.30999805	-4.25488813	-2.77822669	-4.25488813	-1.93220555	0.846021146	0	0	0	0	0	3
60	196	98.1287847	0.315252254	-4.25777933	-2.79445081	-4.25777933	-1.93220555	0.862245261	0	0	0	0	0	3
61	199	99.1976554	0.320506459	-4.26035553	-2.81024617	-4.26035553	-1.93220555	0.878040621	0	0	0	0	0	3
62	202	100.258183	0.325760663	-4.26265207	-2.82560967	-4.26265207	-1.93220555	0.893404117	0	0	0	0	0	3
63	204	101.311257	0.331014867	-4.26479715	-2.84056922	-4.26479715	-1.93220555	0.908363676	0	0	0	0	0	3
64	207	102.357164	0.336269071	-4.26661002	-2.85514081	-4.26661002	-1.93220555	0.922935258	0	0	0	0	0	3
65	210	103.395719	0.341523275	-4.26823262	-2.86933455	-4.26823262	-1.93220555	0.937129006	0	0	0	0	0	3
66	212	104.427781	0.34677748	-4.26977023	-2.88317509	-4.26977023	-1.93220555	0.950969546	0	0	0	0	0	3
67	215	105.453104	0.352031684	-4.27111428	-2.89667007	-4.27111428	-1.93220555	0.964464517	0	0	0	0	0	3
68	218	106.47211	0.357285888	-4.2723508	-2.9098362	-4.2723508	-1.93220555	0.977630649	0	0	0	0	0	3
69	221	107.484994	0.362540092	-4.27349092	-2.92268659	-4.27349092	-1.93220555	0.990481046	0	0	0	0	0	3
70	223	108.491859	0.367794297	-4.27452848	-2.93523244	-4.27452848	-1.93220555	1.00302689	0	0	0	0	0	3
71	226	109.493136	0.373048501	-4.27546735	-2.94748842	-4.27546735	-1.93220555	1.01528288	0	0	0	0	0	3
72	229	110.48873	0.378302705	-4.27633107	-2.95946239	-4.27633107	-1.93220555	1.02725684	0	0	0	0	0	3
73	231	111.478853	0.383556909	-4.27711085	-2.97116536	-4.27711085	-1.93220555	1.03895981	0	0	0	0	0	3
74	234	112.464077	0.388811114	-4.27781942	-2.9826121	-4.27781942	-1.93220555	1.05040656	0	0	0	0	0	3
75	237	113.443263	0.394065318	-4.27846552	-2.99379726	-4.27846552	-1.93220555	1.06159172	0	0	0	0	0	3
76	240	114.417958	0.399319522	-4.27906225	-3.00474608	-4.27906225	-1.93220555	1.07254053	0	0	0	0	0	3
77	242	115.386896	0.404573726	-4.27959921	-3.0154514	-4.27959921	-1.93220555	1.08324586	0	0	0	0	0	3
78	245	116.351776	0.409827931	-4.2800822	-3.02593871	-4.2800822	-1.93220555	1.09373316	0	0	0	0	0	3
79	248	117.311409	0.415082135	-4.28051188	-3.03620139	-4.28051188	-1.93220555	1.10399585	0	0	0	0	0	3
80	251	118.267444	0.420336339	-4.28091562	-3.04626326	-4.28091562	-1.93220555	1.11405771	0	0	0	0	0	3
81	253	119.218561	0.425590543	-4.28125557	-3.05611593	-4.28125557	-1.93220555	1.12391039	0	0	0	0	0	3
82	256	120.16619	0.430844748	-4.38794882	-3.06661875	-4.38794882	-1.93220555	1.1344132	0	0	0	0	0	3
83	258	121.109036	0.436098952	-4.96199847	-3.08137446	-4.96199847	-1.93220555	1.14916892	0	0	0	0	0	3
84	261	122.048265	0.441353156	-5.12452759	-3.09709767	-5.12452759	-1.93220555	1.16489212	0	0	0	0	0	3
