Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.153081	298.153081	298.153081	298.153081	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.15621	298.154646	298.153081	298.15621	0.00156456069	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.15938	298.156226	298.153081	298.15938	0.00314494935	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.16262	298.157845	298.153081	298.16262	0.00476405199	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.166246	298.159695	298.153081	298.166246	0.00661371976	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.175764	298.165605	298.153081	298.175764	0.0125233047	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.213679	298.194757	298.153081	298.213679	0.0416756391	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.406547	298.364022	298.153081	298.406547	0.210940828	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.92333	298.836132	298.153081	298.92333	0.683050996	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	299.401575	299.265939	298.153081	299.401575	1.11285769	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	299.434438	299.269195	298.153081	299.434438	1.11611335	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	299.459231	299.272034	298.153081	299.459231	1.11895221	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	299.475712	299.274116	298.153081	299.475712	1.12103451	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	299.489203	299.275964	298.153081	299.489203	1.12288254	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	299.500811	299.277662	298.153081	299.500811	1.12458058	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	299.516414	299.280201	298.153081	299.516414	1.12711979	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	299.530451	299.282675	298.153081	299.530451	1.12959321	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	299.543538	299.28515	298.153081	299.543538	1.13206918	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	299.556246	299.287729	298.153081	299.556246	1.13464765	0	0	0	0	0	3
20	82	50.047109	0.105084085	299.568962	299.2905	298.153081	299.568962	1.13741847	0	0	0	0	0	3
21	85	50.8057684	0.110338289	299.586925	299.294926	298.153081	299.586925	1.14184486	0	0	0	0	0	3
22	87	51.5990821	0.115592493	299.604377	299.299684	298.153081	299.604377	1.14660253	0	0	0	0	0	3
23	90	52.4251184	0.120846697	299.621262	299.304751	298.153081	299.621262	1.15166948	0	0	0	0	0	3
24	93	53.2727271	0.126100902	299.637371	299.310043	298.153081	299.637371	1.15696171	0	0	0	0	0	3
25	95	54.130989	0.131355106	299.65256	299.315474	298.153081	299.65256	1.16239241	0	0	0	0	0	3
26	98	55.4182895	0.13660931	299.672639	299.32377	298.153081	299.672639	1.17068893	0	0	0	0	0	3
27	101	56.6950026	0.141863514	299.690732	299.332034	298.153081	299.690732	1.17895253	0	0	0	0	0	3
28	104	57.9460995	0.147117719	299.706997	299.34013	298.153081	299.706997	1.18704825	0	0	0	0	0	3
29	107	59.1662014	0.152371923	299.72165	299.347997	298.153081	299.72165	1.19491582	0	0	0	0	0	3
30	110	60.355004	0.157626127	299.75138	299.355943	298.153081	299.75138	1.20286119	0	0	0	0	0	3
31	113	61.8847727	0.162880331	299.835181	299.367789	298.153081	299.835181	1.21470779	0	0	0	0	0	3
32	116	63.379911	0.168134536	299.921084	299.380841	298.153081	299.921084	1.22776007	0	0	0	0	0	3
33	119	64.8470579	0.17338874	300.018447	299.395267	298.153081	300.018447	1.24218572	0	0	0	0	0	3
34	122	66.2896594	0.178642944	300.126604	299.411182	298.153081	300.126604	1.25810113	0	0	0	0	0	3
35	124	67.7108526	0.183897148	300.237756	299.428532	298.153081	300.237756	1.2754502	0	0	0	0	0	3
36	128	69.1116691	0.189151353	300.347434	299.447157	298.153081	300.347434	1.29407532	0	0	0	0	0	3
37	131	70.4936093	0.194405557	300.451569	299.466847	298.153081	300.451569	1.31376558	0	0	0	0	0	3
38	133	71.8566672	0.199659761	300.54879	299.48737	298.153081	300.54879	1.33428909	0	0	0	0	0	3
39	136	73.2023027	0.204913965	300.637906	299.50852	298.153081	300.637906	1.35543872	0	0	0	0	0	3
40	139	74.5301983	0.21016817	300.71929	299.530092	298.153081	300.71929	1.37701087	0	0	0	0	0	3
41	142	75.8411404	0.215422374	300.793474	299.55193	298.153081	300.793474	1.39884889	0	0	0	0	0	3
42	145	77.1354356	0.220676578	300.860321	299.573884	298.153081	300.860321	1.42080305	0	0	0	0	0	3
43	148	78.4134466	0.225930782	300.921091	299.595842	298.153081	300.921091	1.44276032	0	0	0	0	0	3
44	151	79.6755359	0.231184986	300.976116	299.617706	298.153081	300.976116	1.46462437	0	0	0	0	0	3
45	154	80.9223344	0.236439191	301.025917	299.639402	298.153081	301.025917	1.48632117	0	0	0	0	0	3
46	157	82.1541264	0.241693395	301.07115	299.66087	298.153081	301.07115	1.50778833	0	0	0	0	0	3
47	160	83.3718609	0.246947599	301.112388	299.682071	298.153081	301.112388	1.5289893	0	0	0	0	0	3
48	162	84.5752894	0.252201803	301.150119	299.70296	298.153081	301.150119	1.54987827	0	0	0	0	0	3
49	165	85.7659717	0.257456008	301.184804	299.723532	298.153081	301.184804	1.57045061	0	0	0	0	0	3
50	168	86.9434252	0.262710212	301.216826	299.743755	298.153081	301.216826	1.59067392	0	0	0	0	0	3
51	171	88.1093756	0.267964416	301.246504	299.763641	298.153081	301.246504	1.61055978	0	0	0	0	0	3
52	174	89.2629975	0.27321862	301.273998	299.783161	298.153081	301.273998	1.63007941	0	0	0	0	0	3
53	176	90.4060462	0.278472825	301.299629	299.802334	298.153081	301.299629	1.64925287	0	0	0	0	0	3
54	179	91.5377194	0.283727029	301.323593	299.821141	298.153081	301.323593	1.66806006	0	0	0	0	0	3
55	182	92.6598196	0.288981233	301.346102	299.839608	298.153081	301.346102	1.68652716	0	0	0	0	0	3
56	185	93.7715015	0.294235437	301.367286	299.857719	298.153081	301.367286	1.70463812	0	0	0	0	0	3
57	188	94.8744384	0.299489642	301.387254	299.875501	298.153081	301.387254	1.7224193	0	0	0	0	0	3
58	190	95.9676129	0.304743846	301.406151	299.892936	298.153081	301.406151	1.73985506	0	0	0	0	0	3
59	193	97.0527481	0.30999805	301.424096	299.910056	298.153081	301.424096	1.75697477	0	0	0	0	0	3
60	196	98.1287847	0.315252254	301.441133	299.926845	298.153081	301.441133	1.77376387	0	0	0	0	0	3
61	199	99.1976554	0.320506459	301.457424	299.943337	298.153081	301.457424	1.79025611	0	0	0	0	0	3
62	202	100.258183	0.325760663	301.473038	299.959519	298.153081	301.473038	1.80643723	0	0	0	0	0	3
63	204	101.311257	0.331014867	301.487986	299.975406	298.153081	301.487986	1.8223248	0	0	0	0	0	3
64	207	102.357164	0.336269071	301.502359	299.991009	298.153081	301.502359	1.83792753	0	0	0	0	0	3
65	210	103.395719	0.341523275	301.51623	300.006329	298.153081	301.51623	1.85324755	0	0	0	0	0	3
66	212	104.427781	0.34677748	301.529628	300.021384	298.153081	301.529628	1.86830235	0	0	0	0	0	3
67	215	105.453104	0.352031684	301.542544	300.036174	298.153081	301.542544	1.88309264	0	0	0	0	0	3
68	218	106.47211	0.357285888	301.555061	300.050711	298.153081	301.555061	1.89762934	0	0	0	0	0	3
69	221	107.484994	0.362540092	301.567206	300.065001	298.153081	301.567206	1.91192003	0	0	0	0	0	3
70	223	108.491859	0.367794297	301.579042	300.079052	298.153081	301.579042	1.92597117	0	0	0	0	0	3
