Iteration	CPUTime	PhysTime	Travels
180	509	198.066794	0.945756763
181	511	198.768919	0.951010967
182	514	199.450243	0.956265171
183	517	200.149165	0.961519376
184	519	200.827531	0.96677358
185	521	201.523257	0.972027784
186	524	202.198439	0.977281988
187	526	202.89099	0.982536193
188	529	203.563001	0.987790397
189	531	204.252351	0.993044601
190	534	204.9211	0.998298805
191	536	205.607491	1.00355301
192	539	206.273191	1.00880721
193	541	206.956641	1.01406142
194	544	207.619536	1.01931562
195	546	208.299755	1.02456983
196	549	208.959801	1.02982403
197	551	209.636941	1.03507823
198	554	210.294379	1.04033244
199	556	210.968644	1.04558664
200	559	211.623549	1.05084085
201	562	212.295389	1.05609505
202	564	212.947526	1.06134926
203	567	213.61693	1.06660346
204	569	214.266368	1.07185766
205	572	214.933131	1.07711187
206	574	215.57996	1.08236607
207	576	216.244082	1.08762028
208	579	216.888495	1.09287448
209	581	217.550156	1.09812869
210	584	218.191919	1.10338289
211	586	218.851333	1.10863709
212	589	219.490515	1.1138913
213	591	220.147705	1.1191455
214	594	220.784634	1.12439971
215	596	221.439106	1.12965391
216	598	222.073834	1.13490812
217	601	222.725681	1.14016232
218	603	223.358369	1.14541652
219	606	224.007905	1.15067073
220	608	224.638372	1.15592493
221	611	225.285751	1.16117914
222	613	225.913901	1.16643334
223	616	226.559322	1.17168755
224	618	227.185205	1.17694175
225	620	227.828458	1.18219595
226	623	228.452279	1.18745016
227	625	229.093319	1.19270436
228	628	229.715262	1.19795857
229	630	230.353941	1.20321277
230	632	230.973836	1.20846697
231	635	231.610483	1.21372118
232	637	232.228511	1.21897538
233	640	232.863238	1.22422959
234	642	233.479548	1.22948379
235	645	234.112221	1.234738
236	647	234.726528	1.2399922
237	649	235.357203	1.2452464
238	652	235.969665	1.25050061
239	654	236.598192	1.25575481
240	657	237.208788	1.26100902
241	659	237.835358	1.26626322
242	661	238.444025	1.27151743
243	664	239.068774	1.27677163
244	666	239.675689	1.28202583
245	669	240.298631	1.28728004
246	671	240.903761	1.29253424
247	674	241.524949	1.29778845
248	676	242.128416	1.30304265
249	679	242.748015	1.30829686
250	681	243.349732	1.31355106
251	684	243.967796	1.31880526
252	686	244.567764	1.32405947
253	689	245.184859	1.32931367
254	691	245.783159	1.33456788
255	694	246.399695	1.33982208
256	696	246.9964	1.34507629
257	699	247.612088	1.35033049
258	701	248.207087	1.35558469
259	704	248.821689	1.3608389
260	706	249.41572	1.3660931
261	709	250.029162	1.37134731
262	711	250.621859	1.37660151
263	714	251.234262	1.38185571
264	716	251.828142	1.38710992
265	719	252.439574	1.39236412
266	721	253.033342	1.39761833
267	724	253.643952	1.40287253
268	726	254.235578	1.40812674
269	729	254.845577	1.41338094
270	731	255.435307	1.41863514
271	734	256.044616	1.42388935
272	736	256.63481	1.42914355
273	739	257.24339	1.43439776
274	741	257.833535	1.43965196
275	744	258.441225	1.44490617
276	746	259.030098	1.45016037
277	748	259.636298	1.45541457
278	751	260.222841	1.46066878
279	753	260.828128	1.46592298
280	756	261.414697	1.47117719
281	758	262.019333	1.47643139
282	761	262.605403	1.4816856
283	763	263.208977	1.4869398
284	765	263.795253	1.492194
285	768	264.39756	1.49744821
286	770	264.98103	1.50270241
287	773	265.582259	1.50795662
288	775	266.163879	1.51321082
289	777	266.764428	1.51846502
290	780	267.346126	1.52371923
291	782	267.945797	1.52897343
292	785	268.527045	1.53422764
293	787	269.125456	1.53948184
294	790	269.70695	1.54473605
295	792	270.304368	1.54999025
296	794	270.883235	1.55524445
297	797	271.479687	1.56049866
298	800	272.058616	1.56575286
299	802	272.654112	1.57100707
300	804	273.231767	1.57626127
301	808	273.826268	1.58151548
302	810	274.403918	1.58676968
303	812	274.997369	1.59202388
304	815	275.572247	1.59727809
305	817	276.165263	1.60253229
306	820	276.740921	1.6077865
307	822	277.333104	1.6130407
308	824	277.907029	1.61829491
309	827	278.498155	1.62354911
310	829	279.072202	1.62880331
311	832	279.66218	1.63405752
312	834	280.233785	1.63931172
313	837	280.822933	1.64456593
314	839	281.395206	1.64982013
315	841	281.983653	1.65507434
316	844	282.555151	1.66032854
317	847	283.142924	1.66558274
318	851	283.713708	1.67083695
319	855	284.300545	1.67609115
320	858	284.868435	1.68134536
321	860	285.45431	1.68659956
322	863	286.023159	1.69185376
323	865	286.608424	1.69710797
324	868	287.176652	1.70236217
325	870	287.761304	1.70761638
326	872	288.328513	1.71287058
327	875	288.912405	1.71812479
328	877	289.47708	1.72337899
329	880	290.060399	1.72863319
330	882	290.625968	1.7338874
331	884	291.208334	1.7391416
332	887	291.772902	1.74439581
333	889	292.354136	1.74965001
334	892	292.918126	1.75490422
335	894	293.498571	1.76015842
336	896	294.061683	1.76541262
337	899	294.641015	1.77066683
338	901	295.203062	1.77592103
339	903	295.781525	1.78117524
340	906	296.342865	1.78642944
341	908	296.92058	1.79168365
342	910	297.481028	1.79693785
343	913	298.057665	1.80219205
344	915	298.617143	1.80744626
345	918	299.194285	1.81270046
346	920	299.751495	1.81795467
347	923	300.327288	1.82320887
348	925	300.885475	1.82846307
349	928	301.460325	1.83371728
350	930	302.017737	1.83897148
351	933	302.591764	1.84422569
352	935	303.148727	1.84947989
353	938	303.721981	1.8547341
354	940	304.277983	1.8599883
355	943	304.85021	1.8652425
356	945	305.40537	1.87049671
357	948	305.976981	1.87575091
358	950	306.531555	1.88100512
359	953	307.102389	1.88625932
360	955	307.656073	1.89151353
361	958	308.226113	1.89676773
362	960	308.779346	1.90202193
363	963	309.349214	1.90727614
364	965	309.902291	1.91253034
365	968	310.471763	1.91778455
366	970	311.024078	1.92303875
367	972	311.592654	1.92829296
368	975	312.144263	1.93354716
369	978	312.712461	1.93880136
370	981	313.26391	1.94405557
371	983	313.831916	1.94930977
372	985	314.3829	1.95456398
373	988	314.950246	1.95981818
374	990	315.500549	1.96507239
375	993	316.067347	1.97032659
376	995	316.617253	1.97558079
377	998	317.183679	1.980835
378	1000	317.733092	1.9860892
379	1002	318.298958	1.99134341
380	1005	318.847874	1.99659761
