Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.153604	298.153604	298.153604	298.153604	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.157258	298.155431	298.153604	298.157258	0.0018272709	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.160956	298.157276	298.153604	298.160956	0.00367151034	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.164732	298.159164	298.153604	298.164732	0.00555970006	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.168956	298.16132	298.153604	298.168956	0.00771572033	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.180048	298.168208	298.153604	298.180048	0.0146034296	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.224648	298.202433	298.153604	298.224648	0.0488284956	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.457628	298.406388	298.153604	298.457628	0.252783601	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	299.06809	298.964929	298.153604	299.06809	0.81132508	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	299.60304	299.449973	298.153604	299.60304	1.29636894	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	299.640354	299.453652	298.153604	299.640354	1.3000474	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	299.668632	299.456863	298.153604	299.668632	1.3032589	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	299.687497	299.459221	298.153604	299.687497	1.30561678	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	299.702952	299.461315	298.153604	299.702952	1.30771092	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	299.716231	299.46324	298.153604	299.716231	1.30963604	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	299.734035	299.46612	298.153604	299.734035	1.31251603	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	299.750017	299.468926	298.153604	299.750017	1.31532201	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	299.764882	299.471735	298.153604	299.764882	1.31813106	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	299.779269	299.47466	298.153604	299.779269	1.3210561	0	0	0	0	0	3
20	82	50.047109	0.105084085	299.793612	299.477803	298.153604	299.793612	1.32419855	0	0	0	0	0	3
21	85	50.8057684	0.110338289	299.81379	299.48282	298.153604	299.81379	1.32921569	0	0	0	0	0	3
22	87	51.5990821	0.115592493	299.833314	299.488209	298.153604	299.833314	1.3346044	0	0	0	0	0	3
23	90	52.4251184	0.120846697	299.852097	299.493942	298.153604	299.852097	1.34033801	0	0	0	0	0	3
24	93	53.2727271	0.126100902	299.869937	299.499924	298.153604	299.869937	1.34632037	0	0	0	0	0	3
25	95	54.130989	0.131355106	299.88669	299.506057	298.153604	299.88669	1.35245264	0	0	0	0	0	3
26	98	55.4182895	0.13660931	299.908723	299.51541	298.153604	299.908723	1.36180609	0	0	0	0	0	3
27	101	56.6950026	0.141863514	299.928447	299.524711	298.153604	299.928447	1.37110726	0	0	0	0	0	3
28	104	57.9460995	0.147117719	299.946081	299.533809	298.153604	299.946081	1.38020493	0	0	0	0	0	3
