Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.153577	298.153577	298.153577	298.153577	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.157203	298.15539	298.153577	298.157203	0.00181337702	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.160872	298.15722	298.153577	298.160872	0.00364361646	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.16462	298.159094	298.153577	298.16462	0.00551751235	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.168813	298.161234	298.153577	298.168813	0.0076572709	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.179823	298.16807	298.153577	298.179823	0.0144938569	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.224134	298.202067	298.153577	298.224134	0.0484907234	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.456244	298.405208	298.153577	298.456244	0.251631581	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	299.06557	298.962618	298.153577	299.06557	0.809041358	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	299.600592	299.447558	298.153577	299.600592	1.29398107	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	299.637904	299.451235	298.153577	299.637904	1.29765885	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	299.66619	299.454447	298.153577	299.66619	1.30086997	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	299.685069	299.456804	298.153577	299.685069	1.30322773	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	299.70039	299.458897	298.153577	299.70039	1.30532062	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	299.713718	299.460822	298.153577	299.713718	1.30724502	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	299.731552	299.463701	298.153577	299.731552	1.31012432	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	299.747552	299.466506	298.153577	299.747552	1.31292986	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	299.762422	299.469315	298.153577	299.762422	1.31573853	0	0	0	0	0	3
