Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.153205	298.153205	298.153205	298.153205	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.15646	298.154833	298.153205	298.15646	0.00162746043	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.159757	298.156477	298.153205	298.159757	0.00327144365	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.163128	298.158161	298.153205	298.163128	0.00495584508	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.166902	298.160086	298.153205	298.166902	0.00688038897	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.176816	298.166239	298.153205	298.176816	0.0130332801	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.216439	298.19668	298.153205	298.216439	0.0434743542	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.418908	298.374287	298.153205	298.418908	0.22108156	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.956728	298.865924	298.153205	298.956728	0.712718653	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	299.446559	299.307279	298.153205	299.446559	1.15407372	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	299.480319	299.310622	298.153205	299.480319	1.15741713	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	299.505825	299.313538	298.153205	299.505825	1.16033319	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	299.522789	299.315678	298.153205	299.522789	1.16247246	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	299.536673	299.317576	298.153205	299.536673	1.16437125	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	299.548613	299.319321	298.153205	299.548613	1.16611602	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	299.564648	299.32193	298.153205	299.564648	1.16872515	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	299.579068	299.324472	298.153205	299.579068	1.17126665	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	299.592499	299.327016	298.153205	299.592499	1.17381061	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	299.605531	299.329665	298.153205	299.605531	1.17645966	0	0	0	0	0	3
20	82	50.047109	0.105084085	299.618561	299.332511	298.153205	299.618561	1.17930598	0	0	0	0	0	3
21	85	50.8057684	0.110338289	299.636948	299.337057	298.153205	299.636948	1.18385199	0	0	0	0	0	3
22	87	51.5990821	0.115592493	299.654789	299.341942	298.153205	299.654789	1.18873698	0	0	0	0	0	3
23	90	52.4251184	0.120846697	299.67203	299.347143	298.153205	299.67203	1.19393801	0	0	0	0	0	3
24	93	53.2727271	0.126100902	299.688459	299.352574	298.153205	299.688459	1.1993686	0	0	0	0	0	3
25	95	54.130989	0.131355106	299.703934	299.358145	298.153205	299.703934	1.20493951	0	0	0	0	0	3
26	98	55.4182895	0.13660931	299.724362	299.366652	298.153205	299.724362	1.21344629	0	0	0	0	0	3
27	101	56.6950026	0.141863514	299.742743	299.375121	298.153205	299.742743	1.22191549	0	0	0	0	0	3
28	104	57.9460995	0.147117719	299.759247	299.383414	298.153205	299.759247	1.23020905	0	0	0	0	0	3
29	107	59.1662014	0.152371923	299.774156	299.391472	298.153205	299.774156	1.23826677	0	0	0	0	0	3
30	110	60.355004	0.157626127	299.805651	299.39963	298.153205	299.805651	1.24642478	0	0	0	0	0	3
31	113	61.8847727	0.162880331	299.895586	299.41189	298.153205	299.895586	1.25868463	0	0	0	0	0	3
32	116	63.379911	0.168134536	299.986724	299.42545	298.153205	299.986724	1.27224503	0	0	0	0	0	3
33	119	64.8470579	0.17338874	300.08885	299.44046	298.153205	300.08885	1.28725427	0	0	0	0	0	3
34	122	66.2896594	0.178642944	300.201479	299.457021	298.153205	300.201479	1.30381565	0	0	0	0	0	3
35	124	67.7108526	0.183897148	300.316727	299.475065	298.153205	300.316727	1.32186015	0	0	0	0	0	3
36	128	69.1116691	0.189151353	300.43008	299.494422	298.153205	300.43008	1.34121722	0	0	0	0	0	3
37	131	70.4936093	0.194405557	300.537534	299.514871	298.153205	300.537534	1.36166613	0	0	0	0	0	3
38	133	71.8566672	0.199659761	300.637733	299.536171	298.153205	300.637733	1.38296583	0	0	0	0	0	3
39	136	73.2023027	0.204913965	300.729398	299.558105	298.153205	300.729398	1.40490022	0	0	0	0	0	3
40	139	74.5301983	0.21016817	300.812942	299.580463	298.153205	300.812942	1.42725749	0	0	0	0	0	3
41	142	75.8411404	0.215422374	300.888985	299.603081	298.153205	300.888985	1.44987578	0	0	0	0	0	3
42	145	77.1354356	0.220676578	300.957398	299.625806	298.153205	300.957398	1.47260056	0	0	0	0	0	3
43	148	78.4134466	0.225930782	301.019525	299.648521	298.153205	301.019525	1.49531591	0	0	0	0	0	3
44	151	79.6755359	0.231184986	301.07571	299.671128	298.153205	301.07571	1.51792309	0	0	0	0	0	3
45	154	80.9223344	0.236439191	301.126486	299.693552	298.153205	301.126486	1.5403463	0	0	0	0	0	3
46	157	82.1541264	0.241693395	301.172564	299.715727	298.153205	301.172564	1.56252212	0	0	0	0	0	3
47	160	83.3718609	0.246947599	301.214513	299.737619	298.153205	301.214513	1.58441348	0	0	0	0	0	3
48	162	84.5752894	0.252201803	301.252876	299.759179	298.153205	301.252876	1.6059742	0	0	0	0	0	3
49	165	85.7659717	0.257456008	301.288131	299.780406	298.153205	301.288131	1.6272005	0	0	0	0	0	3
50	168	86.9434252	0.262710212	301.320569	299.801264	298.153205	301.320569	1.64805856	0	0	0	0	0	3
51	171	88.1093756	0.267964416	301.350648	299.821767	298.153205	301.350648	1.66856155	0	0	0	0	0	3
52	174	89.2629975	0.27321862	301.378484	299.841886	298.153205	301.378484	1.68868034	0	0	0	0	0	3
53	176	90.4060462	0.278472825	301.404549	299.861643	298.153205	301.404549	1.70843786	0	0	0	0	0	3
54	179	91.5377194	0.283727029	301.428751	299.881017	298.153205	301.428751	1.72781189	0	0	0	0	0	3
55	182	92.6598196	0.288981233	301.451466	299.900035	298.153205	301.451466	1.74682985	0	0	0	0	0	3
56	185	93.7715015	0.294235437	301.472795	299.918681	298.153205	301.472795	1.76547527	0	0	0	0	0	3
57	188	94.8744384	0.299489642	301.492993	299.936982	298.153205	301.492993	1.78377701	0	0	0	0	0	3
58	190	95.9676129	0.304743846	301.511986	299.954923	298.153205	301.511986	1.80171799	0	0	0	0	0	3
