Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.15325	298.15325	298.15325	298.15325	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.156549	298.1549	298.15325	298.156549	0.00164978714	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.159891	298.156566	298.15325	298.159891	0.00331610238	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.163307	298.158273	298.15325	298.163307	0.00502317328	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.167131	298.160223	298.15325	298.167131	0.00697337942	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.177172	298.166457	298.15325	298.177172	0.0132066101	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.217286	298.19728	298.15325	298.217286	0.0440295876	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.422155	298.377002	298.15325	298.422155	0.223752306	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.965116	298.873428	298.15325	298.965116	0.720177874	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	299.45836	299.318049	298.15325	299.45836	1.16479916	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	299.492408	299.321418	298.15325	299.492408	1.16816804	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	299.518144	299.324357	298.15325	299.518144	1.17110685	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	299.535265	299.326513	298.15325	299.535265	1.17326306	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	299.549282	299.328427	298.15325	299.549282	1.1751771	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	299.561334	299.330186	298.15325	299.561334	1.176936	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	299.57751	299.332816	298.15325	299.57751	1.17956637	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	299.592058	299.335379	298.15325	299.592058	1.18212868	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	299.605607	299.337943	298.15325	299.605607	1.18469353	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	299.618749	299.340614	298.15325	299.618749	1.18736436	0	0	0	0	0	3
20	82	50.047109	0.105084085	299.631887	299.343484	298.15325	299.631887	1.1902341	0	0	0	0	0	3
21	85	50.8057684	0.110338289	299.650418	299.348067	298.15325	299.650418	1.1948174	0	0	0	0	0	3
22	87	51.5990821	0.115592493	299.668392	299.352992	298.15325	299.668392	1.19974225	0	0	0	0	0	3
23	90	52.4251184	0.120846697	299.685757	299.358235	298.15325	299.685757	1.20498546	0	0	0	0	0	3
24	93	53.2727271	0.126100902	299.7023	299.36371	298.15325	299.7023	1.21045978	0	0	0	0	0	3
25	95	54.130989	0.131355106	299.717876	299.369325	298.15325	299.717876	1.21607519	0	0	0	0	0	3
26	98	55.4182895	0.13660931	299.738429	299.377899	298.15325	299.738429	1.22464903	0	0	0	0	0	3
27	101	56.6950026	0.141863514	299.756915	299.386434	298.15325	299.756915	1.23318408	0	0	0	0	0	3
28	104	57.9460995	0.147117719	299.773507	299.394791	298.15325	299.773507	1.24154126	0	0	0	0	0	3
29	107	59.1662014	0.152371923	299.788429	299.402909	298.15325	299.788429	1.24965871	0	0	0	0	0	3
30	110	60.355004	0.157626127	299.82021	299.411128	298.15325	299.82021	1.25787823	0	0	0	0	0	3
31	113	61.8847727	0.162880331	299.911241	299.423491	298.15325	299.911241	1.27024084	0	0	0	0	0	3
32	116	63.379911	0.168134536	300.003399	299.437171	298.15325	300.003399	1.28392094	0	0	0	0	0	3
33	119	64.8470579	0.17338874	300.10668	299.452318	298.15325	300.10668	1.29906841	0	0	0	0	0	3
34	122	66.2896594	0.178642944	300.220491	299.469035	298.15325	300.220491	1.31578546	0	0	0	0	0	3
35	124	67.7108526	0.183897148	300.336836	299.48725	298.15325	300.336836	1.33399986	0	0	0	0	0	3
36	128	69.1116691	0.189151353	300.451299	299.50679	298.15325	300.451299	1.35354008	0	0	0	0	0	3
37	131	70.4936093	0.194405557	300.559733	299.527432	298.15325	300.559733	1.37418172	0	0	0	0	0	3
38	133	71.8566672	0.199659761	300.660793	299.548931	298.15325	300.660793	1.39568059	0	0	0	0	0	3
39	136	73.2023027	0.204913965	300.753214	299.571068	298.15325	300.753214	1.41781823	0	0	0	0	0	3
40	139	74.5301983	0.21016817	300.837447	299.593631	298.15325	300.837447	1.44038116	0	0	0	0	0	3
41	142	75.8411404	0.215422374	300.9141	299.616456	298.15325	300.9141	1.46320595	0	0	0	0	0	3
42	145	77.1354356	0.220676578	300.983045	299.639387	298.15325	300.983045	1.48613665	0	0	0	0	0	3
43	148	78.4134466	0.225930782	301.045622	299.662306	298.15325	301.045622	1.50905599	0	0	0	0	0	3
44	151	79.6755359	0.231184986	301.102209	299.685115	298.15325	301.102209	1.53186457	0	0	0	0	0	3
45	154	80.9223344	0.236439191	301.153348	299.707736	298.15325	301.153348	1.55448615	0	0	0	0	0	3
46	157	82.1541264	0.241693395	301.199736	299.730107	298.15325	301.199736	1.5768567	0	0	0	0	0	3
47	160	83.3718609	0.246947599	301.241976	299.752189	298.15325	301.241976	1.59893915	0	0	0	0	0	3
48	162	84.5752894	0.252201803	301.280604	299.773937	298.15325	301.280604	1.6206871	0	0	0	0	0	3
49	165	85.7659717	0.257456008	301.316044	299.795346	298.15325	301.316044	1.64209604	0	0	0	0	0	3
50	168	86.9434252	0.262710212	301.34881	299.816384	298.15325	301.34881	1.66313422	0	0	0	0	0	3
51	171	88.1093756	0.267964416	301.379058	299.837063	298.15325	301.379058	1.68381306	0	0	0	0	0	3
52	174	89.2629975	0.27321862	301.40703	299.857353	298.15325	301.40703	1.70410309	0	0	0	0	0	3
53	176	90.4060462	0.278472825	301.433091	299.877276	298.15325	301.433091	1.72402594	0	0	0	0	0	3
54	179	91.5377194	0.283727029	301.457412	299.896811	298.15325	301.457412	1.74356103	0	0	0	0	0	3
55	182	92.6598196	0.288981233	301.480245	299.915986	298.15325	301.480245	1.76273624	0	0	0	0	0	3
56	185	93.7715015	0.294235437	301.501706	299.934785	298.15325	301.501706	1.78153531	0	0	0	0	0	3
57	188	94.8744384	0.299489642	301.521961	299.953237	298.15325	301.521961	1.79998659	0	0	0	0	0	3
58	190	95.9676129	0.304743846	301.541116	299.971324	298.15325	301.541116	1.81807425	0	0	0	0	0	3
59	193	97.0527481	0.30999805	301.559327	299.989079	298.15325	301.559327	1.83582953	0	0	0	0	0	3
60	196	98.1287847	0.315252254	301.576608	300.006488	298.15325	301.576608	1.85323765	0	0	0	0	0	3
61	199	99.1976554	0.320506459	301.593111	300.023584	298.15325	301.593111	1.87033378	0	0	0	0	0	3
62	202	100.258183	0.325760663	301.6089	300.040353	298.15325	301.6089	1.88710319	0	0	0	0	0	3
63	204	101.311257	0.331014867	301.624035	300.056815	298.15325	301.624035	1.90356469	0	0	0	0	0	3
64	207	102.357164	0.336269071	301.638575	300.072977	298.15325	301.638575	1.91972745	0	0	0	0	0	3
65	210	103.395719	0.341523275	301.652563	300.088844	298.15325	301.652563	1.93559354	0	0	0	0	0	3
66	212	104.427781	0.34677748	301.66605	300.104431	298.15325	301.66605	1.95118111	0	0	0	0	0	3
67	215	105.453104	0.352031684	301.679101	300.119742	298.15325	301.679101	1.96649166	0	0	0	0	0	3
68	218	106.47211	0.357285888	301.69174	300.134787	298.15325	301.69174	1.98153668	0	0	0	0	0	3
69	221	107.484994	0.362540092	301.703992	300.149574	298.15325	301.703992	1.99632408	0	0	0	0	0	3
70	223	108.491859	0.367794297	301.715903	300.16411	298.15325	301.715903	2.01086049	0	0	0	0	0	3
71	226	109.493136	0.373048501	301.727497	300.178407	298.15325	301.727497	2.02515711	0	0	0	0	0	3
72	229	110.48873	0.378302705	301.738797	300.192467	298.15325	301.738797	2.03921751	0	0	0	0	0	3
73	231	111.478853	0.383556909	301.749833	300.2063	298.15325	301.749833	2.05304958	0	0	0	0	0	3
74	234	112.464077	0.388811114	301.760616	300.219916	298.15325	301.760616	2.06666593	0	0	0	0	0	3
75	237	113.443263	0.394065318	301.771168	300.233306	298.15325	301.771168	2.08005556	0	0	0	0	0	3
76	240	114.417958	0.399319522	301.781528	300.246494	298.15325	301.781528	2.09324444	0	0	0	0	0	3
77	242	115.386896	0.404573726	301.791672	300.25947	298.15325	301.791672	2.10621975	0	0	0	0	0	3
78	245	116.351776	0.409827931	301.801632	300.272259	298.15325	301.801632	2.11900857	0	0	0	0	0	3
79	248	117.311409	0.415082135	301.811424	300.284849	298.15325	301.811424	2.13159927	0	0	0	0	0	3
80	251	118.267444	0.420336339	301.821052	300.297267	298.15325	301.821052	2.14401743	0	0	0	0	0	3
81	253	119.218561	0.425590543	301.830537	300.3095	298.15325	301.830537	2.15624974	0	0	0	0	0	3
82	256	120.16619	0.430844748	301.848044	300.321633	298.15325	301.848044	2.16838269	0	0	0	0	0	3
83	258	121.109036	0.436098952	301.908113	300.333984	298.15325	301.908113	2.18073359	0	0	0	0	0	3
84	261	122.048265	0.441353156	301.971794	300.346587	298.15325	301.971794	2.19333745	0	0	0	0	0	3
85	264	122.983322	0.44660736	302.047097	300.359517	298.15325	302.047097	2.20626662	0	0	0	0	0	3
86	267	123.91461	0.451861564	302.133021	300.372845	298.15325	302.133021	2.21959551	0	0	0	0	0	3
87	270	124.842341	0.457115769	302.224566	300.386606	298.15325	302.224566	2.23335605	0	0	0	0	0	3
88	273	125.765674	0.462369973	302.318405	300.400789	298.15325	302.318405	2.24753872	0	0	0	0	0	3
89	276	126.685654	0.467624177	302.410995	300.415387	298.15325	302.410995	2.26213666	0	0	0	0	0	3
90	278	127.600797	0.472878381	302.500349	300.43034	298.15325	302.500349	2.27708986	0	0	0	0	0	3
91	281	128.512689	0.478132586	302.585779	300.445634	298.15325	302.585779	2.29238428	0	0	0	0	0	3
92	284	129.420043	0.48338679	302.665857	300.4612	298.15325	302.665857	2.3079501	0	0	0	0	0	3
93	286	130.32358	0.488640994	302.740924	300.477005	298.15325	302.740924	2.32375549	0	0	0	0	0	3
94	289	131.223462	0.493895198	302.810916	300.493011	298.15325	302.810916	2.33976059	0	0	0	0	0	3
95	292	132.118622	0.499149403	302.876136	300.509157	298.15325	302.876136	2.35590728	0	0	0	0	0	3
96	295	133.010281	0.504403607	302.936954	300.525432	298.15325	302.936954	2.37218247	0	0	0	0	0	3
97	298	133.897049	0.509657811	302.993555	300.542068	298.156549	302.993555	2.38716814	0	0	0	0	0	3
98	300	134.779986	0.514912015	303.046311	300.558765	298.159891	303.046311	2.40219848	0	0	0	0	0	3
99	303	135.658406	0.52016622	303.095506	300.575484	298.163307	303.095506	2.41721124	0	0	0	0	0	3
100	306	136.532588	0.525420424	303.141407	300.592213	298.167131	303.141407	2.43199005	0	0	0	0	0	3
101	309	137.403119	0.530674628	303.184325	300.608971	298.177172	303.184325	2.44251492	0	0	0	0	0	3
102	312	138.268708	0.535928832	303.224434	300.626218	298.217286	303.224434	2.42893828	0	0	0	0	0	3
103	314	139.130761	0.541183037	303.262039	300.64613	298.422155	303.262039	2.26912749	0	0	0	0	0	3
104	317	139.988093	0.546437241	303.29731	300.684095	298.965116	303.29731	1.81066728	0	0	0	0	0	3
105	320	140.842276	0.551691445	303.330495	300.821339	299.45836	303.330495	1.50329025	0	0	0	0	0	3
106	322	141.692186	0.556945649	303.361727	301.322717	299.492408	303.361727	2.00129887	0	0	0	0	0	3
107	325	142.53944	0.562199853	303.391232	301.357494	299.518144	303.391232	2.03313699	0	0	0	0	0	3
108	328	143.382779	0.567454058	303.419123	301.388555	299.535265	303.419123	2.06204197	0	0	0	0	0	3
109	330	144.223358	0.572708262	303.445565	301.415432	299.549282	303.445565	2.08700535	0	0	0	0	0	3
110	333	145.060041	0.577962466	303.470661	301.440765	299.561334	303.470661	2.11057909	0	0	0	0	0	3
111	335	145.892958	0.58321667	303.494503	301.465051	299.57751	303.494503	2.13223467	0	0	0	0	0	3
112	338	146.722343	0.588470875	303.51722	301.492117	299.592058	303.51722	2.15673864	0	0	0	0	0	3
113	341	147.548949	0.593725079	303.538921	301.518448	299.605607	303.538921	2.18050412	0	0	0	0	0	3
114	343	148.371499	0.598979283	303.559685	301.544333	299.618749	303.559685	2.20371886	0	0	0	0	0	3
115	346	149.191393	0.604233487	303.57956	301.570189	299.631887	303.57956	2.22670532	0	0	0	0	0	3
116	348	150.007513	0.609487692	303.598662	301.596312	299.650418	303.598662	2.2482446	0	0	0	0	0	3
117	351	150.821518	0.614741896	303.617038	301.627519	299.668392	303.617038	2.27452637	0	0	0	0	0	3
118	354	151.631739	0.6199961	303.634753	301.659313	299.685757	303.634753	2.30107783	0	0	0	0	0	3
119	356	152.440835	0.625250304	303.651925	301.691733	299.7023	303.651925	2.32802284	0	0	0	0	0	3
120	359	153.245536	0.630504509	303.668429	301.724511	299.717876	303.668429	2.35518545	0	0	0	0	0	3
121	361	154.049107	0.635758713	303.684499	301.75751	299.738429	303.684499	2.3796107	0	0	0	0	0	3
122	364	154.848083	0.641012917	303.700009	301.799259	299.756915	303.700009	2.41282544	0	0	0	0	0	3
123	367	155.646418	0.646267121	303.715132	301.841068	299.773507	303.715132	2.44627664	0	0	0	0	0	3
124	369	156.443696	0.651521326	303.729864	301.882618	299.788429	303.729864	2.47970959	0	0	0	0	0	3
125	372	157.240514	0.65677553	303.744276	301.923796	299.82021	303.744276	2.51266828	0	0	0	0	0	3
126	374	158.035365	0.662029734	303.758347	301.964326	299.911241	303.758347	2.54083525	0	0	0	0	0	3
127	377	158.827885	0.667283938	303.772123	302.011503	300.003399	303.772123	2.57433188	0	0	0	0	0	3
128	379	159.617132	0.672538143	303.785553	302.05725	300.10668	303.785553	2.60493134	0	0	0	0	0	3
129	382	160.404378	0.677792347	303.798671	302.101545	300.220491	303.798671	2.63250915	0	0	0	0	0	3
130	384	161.188516	0.683046551	303.811556	302.144269	300.336836	303.811556	2.65701911	0	0	0	0	0	3
131	387	161.97083	0.688300755	303.824196	302.185463	300.451299	303.824196	2.67867286	0	0	0	0	0	3
132	390	162.747933	0.693554959	303.836548	302.225109	300.559733	303.836548	2.69767727	0	0	0	0	0	3
133	392	163.535396	0.698809164	303.848904	302.263588	300.660793	303.848904	2.71465712	0	0	0	0	0	3
134	395	164.311637	0.704063368	303.860921	302.300629	300.753214	303.860921	2.72956039	0	0	0	0	0	3
135	397	165.092032	0.709317572	303.87283	302.336641	300.837447	303.87283	2.74301015	0	0	0	0	0	3
136	399	165.858274	0.714571776	303.884422	302.371425	300.9141	303.884422	2.75496927	0	0	0	0	0	3
137	402	166.639231	0.719825981	303.896081	302.40558	300.983045	303.896081	2.76619303	0	0	0	0	0	3
138	404	167.407477	0.725080185	303.907429	302.438757	301.045622	303.907429	2.77645084	0	0	0	0	0	3
139	407	168.182998	0.730334389	303.918778	302.471376	301.102209	303.918778	2.78626165	0	0	0	0	0	3
