Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.150326	298.150326	298.150326	298.150326	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.150656	298.150491	298.150326	298.150656	0.000165154789	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.150991	298.150658	298.150326	298.150991	0.000332094244	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.151335	298.150829	298.150326	298.151335	0.000503546174	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.151722	298.151026	298.150326	298.151722	0.0007001059	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.152753	298.151661	298.150326	298.152753	0.00133518869	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.157071	298.154942	298.150326	298.157071	0.0046160335	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.184271	298.178382	298.150326	298.184271	0.0280562532	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.332431	298.308415	298.150326	298.332431	0.158088736	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	298.698952	298.605271	298.150326	298.698952	0.45494558	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	298.708426	298.607265	298.150326	298.708426	0.45693868	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	298.715901	298.608887	298.150326	298.715901	0.458561556	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	298.721118	298.610035	298.150326	298.721118	0.459708946	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	298.725559	298.611027	298.150326	298.725559	0.460701531	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	298.729506	298.611922	298.150326	298.729506	0.461596274	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	298.735114	298.613232	298.150326	298.735114	0.462906464	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	298.740413	298.614489	298.150326	298.740413	0.464163498	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	298.745549	298.615733	298.150326	298.745549	0.465407445	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	298.750708	298.617017	298.150326	298.750708	0.46669123	0	0	0	0	0	3
20	82	50.047109	0.105084085	298.756091	298.618387	298.150326	298.756091	0.468061444	0	0	0	0	0	3
21	85	50.8057684	0.110338289	298.764335	298.620567	298.150326	298.764335	0.470240821	0	0	0	0	0	3
22	87	51.5990821	0.115592493	298.77291	298.622909	298.150326	298.77291	0.472583026	0	0	0	0	0	3
23	90	52.4251184	0.120846697	298.781793	298.625412	298.150326	298.781793	0.475086478	0	0	0	0	0	3
